primary_key,name,indication,symptoms
DB00451,Levothyroxine,"Levothyroxine is indicated as replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism. It is also indicated as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer.","[""3,3',5,5'-Tetraiodo-L-thyronine"", ""3,5,3',5'-Tetraiodo-L-thyronine"", '4-(4-Hydroxy-3,5-diiodophenoxy)-3,5-diiodo-L-phenylalanine', 'L-T4', 'L-Thyroxine', 'Levothyroxin', 'LT4', 'O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine', 'O-(4-Hydroxy-3,5-diiodophenyl)-3,5-diiodo-L-tyrosine', 'T4']"
DB00452,Framycetin,"For the treatment of bacterial blepharitis, bacterial bonjunctivitis, corneal injuries, corneal ulcers and meibomianitis. For the prophylaxis of ocular infections following foreign body removal","['Fradiomycin B', 'Neomycin B']"
DB00453,Clomocycline,"For the treatment and management of Brucellosis, mycoplasma infection, acne vulgaris, chlamydial infection;Chronic bronchitis","['Chlormethylenecycline', 'Clomocycline']"
DB00454,Meperidine,Used to control moderate to severe pain.,"['Isonipecaïne', 'Pethidine']"
DB00455,Loratadine,"Loratadine is a 2nd generation antihistamine and is typically used to manage symptoms of allergic rhinitis, wheal formation and urticaria.[A176435][A176438]  Unlike 1st generation antihistamines, loratadine is non-sedating since it has minimal effect on the central nervous system with only a small amount entering the brain. [A176438]",['Loratadine']
DB00456,Cefalotin,"Used to prevent infection during surgery and to treat many kinds of infections of the blood, bone or joints, respiratory tract, skin, and urinary tract.","['3-Acetoxymethyl-7-(2-thienylacetamido)-3-cephem-4-carboxylic acid', '7-(2-Thienylacetamido)cephalosporanic acid', ""7-(2'-thienylacetamido)cephalosporanic acid"", '7-(Thiophene-2-acetamido)cephalosporin', 'Cefalothin', 'Cefalotin', 'Cephalothin', 'Cephalotin', 'CET']"
DB00457,Prazosin,"This drug is indicated for the treatment of hypertension (high blood pressure). Prazosin can be given alone or given with other blood pressure-lowering drugs, including diuretics or beta-adrenergic blocking agents [FDA label].

Prazosin does not negatively impact lung function, and therefore may be used to manage hypertension in patients who are asthmatic or patients with chronic obstructive lung disease (COPD)[A176630].","['1-(4-Amino-6,7-dimethoxy-2-quinazolinyl)-4-(2-furanylcarbonyl)piperazine', '2-(4-(2-Furoyl)piperazin-1-yl)-4-amino-6,7-dimethoxyquinazoline', 'Prazosin']"
DB00458,Imipramine,"For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older [FDA Label]. 

May also be used off-label to manage panic disorders with or without agoraphobia, as a second line agent for ADHD in children and adolescents, to manage bulimia nervosa, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, for the treatment of acute stress disorder and posttraumatic stress disorder, and for symptomatic treatment of postherpetic neuralgia and painful diabetic neuropathy [L1349,L1348,A31900,L1351,L1352,L1353,A31904].","['10,11-dihydro-N,N-dimethyl-5H-dibenz[b,f]azepine-5-propanamine', '5-[3-(dimethylamino)propyl]-10,11-dihydro-5H-dibenz[b,f]azepine', 'Imipramine', 'Imizine', 'N-(gamma-Dimethylaminopropyl)iminodibenzyl', 'N-(<U+03B3>-dimethylaminopropyl)iminodibenzyl']"
DB00459,Acitretin,For the treatment of severe psoriasis in adults.,"['(all-E)-9-(4-Methoxy-2,3,6-trimethylphenyl)-3,7-dimethyl-2,4,6,8-nonatetraenoic acid', 'Acitretin', 'all-trans-3,7-Dimethyl-9-(4-methoxy-2,3,6-trimethylphenyl)-2,4,6,8-nonatetraenoic acid', 'Etretin']"
DB00460,Verteporfin,"For the treatment of patients with predominantly classic subfoveal choroidal neovascularization due to age-related macular degeneration, pathologic myopia or presumed ocular histoplasmosis syndrome. Verteporfin can also be used to destroy tumors.",
DB00461,Nabumetone,"**Indicated** for:[label]

1) Symptomatic relief in rheumatoid arthritis.

2) Symptomatic relief in osteoarthritis.","['4-(6-Methoxy-2-naphthalenyl)-2-butanone', '4-(6-Methoxy-2-naphthyl)-2-butanone', 'Nabumetone']"
DB00462,Methscopolamine bromide,Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness.,"['(-)-scopolamine methobromide', '(-)-scopolamine methyl bromide', 'Hyoscine methobromide', 'Hyoscine methyl bromide', 'Methscopolamine bromide', 'Methylscopolamine bromide', 'N-methylhyoscine bromide', 'N-methylscopolammonium bromide', 'Scopolamine methobromide', 'Scopolamine methyl bromide']"
DB00463,Metharbital,Metharbital is used for the treatment of epilepsy.,['Metharbital']
DB00464,Sodium Tetradecyl Sulfate,For the treatment of small uncomplicated varicose veins of the lower extremities that show simple dilation with competent valves.,"['7-Ethyl-2-methyl-4-undecanol sulfate sodium salt', '7-ethyl-2-methyl-4-undecanolsulfate, sodium salt', 'Sodium 2-methyl-7-ethylundecanol-4-sulfate', 'Sodium 7-ethyl-2-methyl-4-undecanol sulfate', 'Sodium Tetradecyl Sulfate', 'Sodium tetradecyl sulphate', 'Sodium tetradecylsulfate', 'STS', 'Tetradecyl sodium sulfate']"
DB00465,Ketorolac,"Ketorolac is a Non-steroidal anti-inflammatory drug (NSAID) and has antipyretic, analgesic and anti-inflammatory properties. [A176131]  It is indicated for short term management of acute pain that requires the caliber of pain management offered by opioids. [L6526]  Clinicians may choose to initiate ketorolac to manage post-operative pain, spinal and soft tissue pain, rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, menstrual disorders and headaches among other ailments. [L6520]  Regardless of the etiology of pain, patients should use the lowest possible dose, and avoid using ketorolac for an extended period of time (ideally = 5 days).[L6526]  A benefit of choosing ketorolac over other analgesics with similar potency is that that there does not appear to be a risk of dependence or tolerance with ketorolac use.[A176131]",['rac-Ketorolac']
DB00466,Picrotoxin,"Used internally for relieving respiratory distress. Also for use as an antidote in poisoning by CNS depressants, especially barbiturates.",['cocculin']
DB00467,Enoxacin,"For the treatment of adults (&ge;18 years of age) with the following infections caused by susceptible strains of the designated microorganisms: (1) uncomplicated urethral or cervical gonorrhea due to <i>Neisseria gonorrhoeae</i>, (2) uncomplicated urinary tract infections (cystitis) due to <i>Escherichia coli</i>, <i>Staphylococcus epidermidis</i>, or <i>Staphylococcus saprophyticus</i>, and (3) complicated urinary tract infections due to <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Proteus mirabilis</i>, <i>Pseudomonas aeruginosa</i>, <i>Staphylococcus epidermidis</i>, or <i>Enterobacter cloacae</i>.","['1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-1,8-naphthyridine-3-carboxylic acid', '1-Ethyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydro-[1,8]naphthyridine-3-carboxylic acid']"
DB00468,Quinine,For the treatment of malaria and leg cramps,"['(-)-Quinine', '(-)-quinine', '(8S,9R)-quinine', '(R)-(-)-quinine', '(R)-(6-methoxyquinolin-4-yl)((2S,4S,8R)-8-vinylquinuclidin-2-yl)methanol', ""6'-Methoxycinchonidine"", 'Chinine']"
DB00469,Tenoxicam,"For the treatment of rheumatoid arthritis, osteoarthritis, backache, and pain.",
DB00470,Dronabinol,"For the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments","['(-)-delta9-trans-Tetrahydrocannabinol', '1-trans-delta-9-Tetrahydrocannabinol', '3-Pentyl-6,6,9-trimethyl-6a,7,8,10a-tetrahydro-6H-dibenzo(b,d)pyran-1-ol', '6,6,9-Trimethyl-3-pentyl-6a,7,8,10a-tetrahydro-6H-benzo[c]chromen-1-ol', 'delta-9-tetrahydrocannabinol', 'delta-9-THC', 'delta(1)-tetrahydrocannabinol', 'delta(9)-THC', 'delta9-tetrahydrocannabinol', 'Dronabinol', 'Tetrahydrocannabinol', 'THC', '<U+0394>9-tetrahydrocannabinol']"
DB00471,Montelukast,"Montelukast is indicated for:

(a) the prophylaxis and chronic treatment of asthma in adults and pediatric patients who are 12 months of age and older[L6301], although other regional health authorities specifically note this indication for adults and adolescents who are 15 years and older[L6304,L6307] and also include indications for preventing day and night-time symptoms, and the treatment of acetylsalicylic acid-sensitive asthma[L6304];

(b) the prevention of exercise-induced bronchoconstriction (EIB) in patients who are 6 years of age and older[L6301], although other regional health authorities specifically note this indication for adults and adolescents who are 15 years and older[L6304,L6307]; and

(c) the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 6 months of age and older[L6301], although other regional health authorities specifically note the relief of seasonal allergic rhinitis symptoms for adults and adolescents who are 15 years and older[L6304,L6307].

Furthermore, some formulations like chewable montelukast tablets may also be specifically indicated by particular regulatory bodies for the prophylaxis and chronic treatment of asthma, including the prevention of day and night-time symptoms, the treatment of acetylsalicylic acid based asthma, and the prevention of exercise-induced bronchoconstriction in adult and pediatric patients aged 2 and older[L6328], between the ages 2 and 5[L6325], or between the ages of 6 and 14 years.[L6331]

Moreover, when employed for such indications montelukast is considered effective as monotherapy or when combined with other medications indicated for the maintenance treatment of chronic asthma.[L6304,L6328] For instance, montelukast and inhaled corticosteroids can be used concomitantly to demonstrate additive effects to control asthma or to decrease the necessary inhaled corticosteroid dose while still maintaining clinical stability.[L6304,L6328]

Additionally, in patients who continue to experience asthma symptoms, montelukast can also be combined with an 'as required' short-acting beta-agonist, an inhaled corticosteroid, or inhaled corticosteroid paired with a long-acting beta-agonist.[L6304,L6328]","['(R-(E))-1-(((1-(3-(2-(7-Chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid', '1-[[[(1 R)-1-[3-[(1E)-2-(7-chloro-2-quinolinyl)ethenyl] phenyl]-3-[2-(1-hydroxy-1-methylethyl)phenyl]propyl]sulfanyl]methyl]cyclopropaneacetic acid']"
DB00472,Fluoxetine,"Labeled indication include: major depressive disorder (MDD), moderate to severe bulimia nervosa, obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), panic disorder with or without agoraphobia, and combination treatment with olanzapine for treatment-resistant or bipolar I depression. Unlabeled indications include: selective mutism, mild dementia-associated agitation in nonpsychotic patients, post-traumatic stress disorder (PTSD), social anxiety disorder, chronic neuropathic pain, fibromyalgia, and Raynaud's phenomenon.","['(+-)-N-Methyl-3-phenyl-3-((alpha,alpha,alpha-trifluoro-P-tolyl)oxy)propylamine', '(+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine', 'Fluoxetine']"
DB00473,Hexylcaine,"Used as a local anesthetic for surface application, infiltration or nerve block",['Hexylcaine']
DB00474,Methohexital,Methohexital is indicated for use as an intravenous anaesthetic. It has also been commonly used to induce deep sedation.,"['(±)-5-allyl-1-methyl-5-(1-methyl-2-pentynyl)barbituric acid', '5-allyl-1-methyl-5-(1-methyl-2-pentynyl)-2,4,6(1H,3H,5H)-pyrimidinetrione', '5-Allyl-1-methyl-5-(1-methyl-pent-2-ynyl)-pyrimidine-2,4,6-trione', '5-Allyl-5-(3-hexyn-2-yl)-1-methylbarbituric acid', 'Methohexital', 'Methohexitone', ""a-DL-1-methyl-5-allyl-5-(1'-methylpentyn-2-yl)barbituric acid""]"
DB00475,Chlordiazepoxide,"For the management of anxiety disorders or for the short-term relief of symptoms of anxiety, withdrawal symptoms of acute alcoholism, and preoperative apprehension and anxiety.","['7-chloro-2-methylamino-5-phenyl-3H-1,4-benzodiazepin-4-oxide', 'CDP', 'Chloradiazepoxide', 'Chlordiazepoxide', 'Clopoxide', 'Methaminodiazepoxide']"
DB00476,Duloxetine,"**Indicated** for:

1) Management of Major Depressive Disorder.[label]

2) Management of Generalized Anxiety Disorder.[label]

3) Management of diabetic peripheral neuropathy.[label]

4) Management of fibromyalgia.[label]

5) Management of chronic musculoskeletal pain.[label]

6) Management of osteoarthritis of the knee in adults.[L6364]

7) Management of chronic lower back pain in adults.[L6364]

8) Management of stress urinary incontinence in adult women.[L6367]

**Off-label** uses include:

1) Management of chemotherapy-induced peripheral neuropathy.[A178603]

2) Management of stress urinary incontinence in adult men after prostatectomy until recovery is complete.[L6370]","['(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine', '(S)-duloxetine', 'Duloxetine']"
DB00477,Chlorpromazine,"For the treatment of schizophrenia; to control nausea and vomiting; for relief of restlessness and apprehension before surgery; for acute intermittent porphyria; as an adjunct in the treatment of tetanus; to control the manifestations of the manic type of manic-depressive illness; for relief of intractable hiccups; for the treatment of severe behavioral problems in children (1 to 12 years of age) marked by combativeness and/or explosive hyperexcitable behavior (out of proportion to immediate provocations), and in the short-term treatment of hyperactive children who show excessive motor activity with accompanying conduct disorders consisting of some or all of the following symptoms: impulsivity, difficulty sustaining attention, aggressivity, mood lability, and poor frustration tolerance.","['3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethyl-1-propanamine', '3-(2-chlorophenothiazin-10-yl)-N,N-dimethyl-propan-1-amine', 'Chlorpromazine', 'CPZ', 'N-(3-dimethylaminopropyl)-3-chlorophenothiazine']"
DB00478,Rimantadine,For the prophylaxis and treatment of illness caused by various strains of influenza A virus in adults.,"['alpha-Methyl-1-adamantanemethylamine', 'alpha-Methyladamantanemethylamine', 'Rimantadine']"
DB00479,Amikacin,"The amikacin sulfate injection is indicated in the short-term treatment of serious bacterial infections due to susceptible strains of gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella-Enterobacter-Serratia species, as well as Acinetobacter (Mima-Herellea) species.[F1954]

Clinical studies have shown amikacin sulfate injection to be effective in bacterial septicemia (including neonatal sepsis); in serious infections of the respiratory tract, bones and joints, central nervous system (including meningitis) and skin and soft tissue; intra-abdominal infections (including peritonitis); and in burns and postoperative infections (including post-vascular surgery).[F1954]

Clinical studies have shown amikacin also to be effective in serious, complicated, and recurrent urinary tract infections due to the above organisms. Aminoglycosides, including amikacin, are not indicated in uncomplicated first-time episodes of urinary tract infections unless the causative organisms are not susceptible to antibiotics which are less toxic.[F1954]

In September 2018, a new indication with a new dosage route was approved for this drug. Amikacin liposome inhalation suspension was approved for the treatment of lung disease caused by a group of bacteria, Mycobacterium avium complex (MAC) in a limited population of patients with the disease who do not respond to conventional treatment (refractory disease).[L4673] This indication is approved under accelerated approval based on achieving sputum culture conversion (defined as 3 consecutive negative monthly sputum cultures) by Month 6 of treatment. Clinical benefit has not yet been established.[Label]

**Important notes regarding Staphylococcus and Sensitivity testing:**

Staphylococcus aureus, including methicillin-resistant strains, is the principal Gram-positive organism sensitive to amikacin.
The use of amikacin in the treatment of staphylococcal infections should be restricted only to second-line therapy, and should be limited to only those patients suffering from severe infections caused by susceptible strains of staphylococcus species who have failed to show sensitivity to other available antibiotics.[F1949]

Bacteriologic studies should be performed to identify causative organisms and their susceptibilities to amikacin. Amikacin may be used as initial therapy in suspected gram-negative infections and therapy may be initiated before obtaining the results of susceptibility testing.[Label,F1949,F1954]",['1-N-(L(-)-<U+03B3>-amino-a-hydroxybutyryl)kanamycin A']
DB00480,Lenalidomide,Lenalidomide is indicated for the treatment of multiple myeloma in combination with dexamethasone. It is also indicated for the treatment of patients with transfusion-dependent anemia due to low- or intermediate- risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.,"['1-oxo-2-(2,6-dioxopiperidin-3-yl)-4-aminoisoindoline', '3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione', 'Lenalidomide']"
DB00481,Raloxifene,"Indicated for the prevention and treatment of osteoporosis in postmenopausal women, as well as prevention and treatment of corticosteroid-induced bone loss.[label]

Indicated for the reduction in the risk of invasive breast cancer in postmenopausal women with osteoporosis or postmenopausal women with a high risk for invasive breast cancer.[label]","['(2-(4-Hydroxyphenyl)-6-hydroxybenzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone', 'Raloxifene']"
DB00482,Celecoxib,"For the relief and management of osteoarthritis (OA), rheumatoid arthritis (RA), juvenile rheumatoid arthritis (JRA), ankylosing spondylitis, acute pain, primary dysmenorrhea and oral adjunct to usual care for patients with familial adenomatous polyposis [FDA label].",['p-(5-p-Tolyl-3-(trifluoromethyl)pyrazol-1-yl)benzenesulfonamide']
DB00483,Gallamine Triethiodide,For use as adjuncts to anesthesia to induce skeletal muscle relaxation and to facilitate the management of patients undergoing mechanical ventilation,
DB00484,Brimonidine,"**Opthalmic**

Indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension [label] as monotherapy or combination product with [brinzolamide].

**Topical**

Indicated for the treatment of persistent (non-transient) facial erythema of rosacea in adults 18 years of age or older.[L6535]","['5-Bromo-6-(2-imidazolin-2-ylamino)quinoxaline', 'Bromoxidine']"
DB00485,Dicloxacillin,Used to treat infections caused by penicillinase-producing staphylococci which have demonstrated susceptibility to the drug.,"['(2S,5R,6R)-6-({[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid']"
DB00486,Nabilone,Nabilone is indicated for the treatment of the nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments. This restriction is required because a substantial proportion of any group of patients treated with Nabilone can be expected to experience disturbing psychotomimetic reactions not observed with other antiemetic agents.,
DB00487,Pefloxacin,For the treatment of uncomplicated gonococcal urethritis in males and for gram-negative-bacterial infections in the gastrointestinal system and the genitourinary tract.,"['Pefloxacine', 'PFLX']"
DB00488,Altretamine,For use as a single agent in the palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent-based combination.,"['2,4,6-tris(dimethylamino)-1,3,5-triazine', '2,4,6-tris(dimethylamino)-s-triazine', 'Altretamine', 'Hexamethylmelamine', 'HMM']"
DB00489,Sotalol,"Sotalol is indicated to treat life threatening ventricular arrhytmias and maintain normal sinus rhythm in patients with atrial fibrillation or flutter.[Label] There are also oral solutions and intravenous injections indicated for patients requiring sotalol, but for whom a tablet would not be appropriate.[Label,L6373,L6376]","[""4'-(1-hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide"", 'ß-cardone']"
DB00490,Buspirone,"For the management of anxiety disorders or the short-term relief of the symptoms of anxiety, and also as an augmention of SSRI-treatment against depression.","['8-(4-(4-(2-Pyrimidinyl)-1-piperizinyl)butyl)-8-azaspiro(4,5)decane-7,9-dione']"
DB00491,Miglitol,For use as an adjunct to diet to improve glycemic control in patients with non-insulin-dependent diabetes mellitus (NIDDM) whose hyperglycemia cannot be managed with diet alone.,
DB00492,Fosinopril,"For treating mild to moderate hypertension, use as an adjunct in treating congestive heart failure, and may be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy.","['Fosenopril', 'Fosinopril']"
DB00493,Cefotaxime,"Used to treat gonorrhoea, meningitis, and severe infections including infections of the kidney (pyelonephritis) and urinary system. Also used before an operation to prevent infection after surgery.","['(6R,7R,Z)-3-(acetoxymethyl)-7-(2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetamido)-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid', '(6R,7R)-3-(acetoxymethyl)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid', '(6R,7R)-3-Acetoxymethyl-7-{2-(2-amino-thiazol-4-yl)-2-[(Z)-methoxyimino]-acetylamino}-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid', 'Cefotaxime', 'Cephotaxime']"
DB00494,Entacapone,"Used as an adjunct to levodopa / carbidopa in the symptomatic treatment of patients with idiopathic Parkinson's Disease who experience the signs and symptoms of end-of-dose ""wearing-off"".","['(E)-alpha-Cyano-N,N-diethyl-3,4-dihydroxy-5-nitrocinnamamide', 'N,N-diethyl-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl) acrylamide']"
DB00495,Zidovudine,Used in combination with other antiretroviral agents for the treatment of human immunovirus (HIV) infections.,"['Azidothymidine', 'AZT', 'ZDV', 'Zidovudine']"
DB00496,Darifenacin,"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency and frequency.","['(S)-1-(2-(2,3-dihydro-5-benzofuranyl)ethyl)-a,a-diphenyl-3-pyrrolidineacetamide']"
DB00497,Oxycodone,Oxycodone is indicated for the treatment of moderate to severe pain.[Label] There is also an extended release formulation indicated for chronic moderate to severe pain requiring continuous opioid analgesics for an extended period.[Label],"['(-)-14-Hydroxydihydrocodeinone', '4,5-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one', '4,5alpha-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one', '4,5a-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one', 'Dihydro-14-hydroxycodeinone', 'Dihydrohydroxycodeinone', 'Dihydroxycodeinone']"
DB00498,Phenindione,"For the treatment of pulmonary embolism, cardiomyopathy, atrial fibrillation and flutter, cerebral embolism, mural thrombosis, and thrombophili. Also used for anticoagulant prophylaxis.","['2-phenyl-1,3-diketohydrindene', '2-Phenyl-1,3-indandione', '2-phenyl-1,3(2H)-Indenedione', 'Phenindione', 'PID']"
DB00499,Flutamide,For the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate,"[""4'-nitro-3'-trifluoromethylisobutyranilide"", 'FTA', 'NFBA', 'Niftolid', 'Niftolide', ""a,a,a-trifluoro-2-methyl-4'-nitro-m-propionotoluidide""]"
DB00500,Tolmetin,"For the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis, including the treatment of acute flares long-term management. Also for treatment of juvenile rheumatoid arthritis.","['1-Methyl-5-(4-methylbenzoyl)-pyrrole-2-acetic acid', '1-Methyl-5-p-toluoylpyrrole-2-acetic acid', '5-(p-Toluoyl)-1-methylpyrrole-2-acetic acid', 'Tolmetin']"
DB00501,Cimetidine,"For the treatment and the management of acid-reflux disorders (GERD), peptic ulcer disease, heartburn, and acid indigestion.","['1-Cyano-2-methyl-3-(2-(((5-methyl-4-imidazolyl)methyl)thio)ethyl)guanidine', '2-cyano-1-methyl-3-(2-(((5-methylimidazol-4-yl)methyl)thio)ethyl)guanidine', 'Cimetidine', ""N-cyano-N'-methyl-N''-(2-([(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl)ethyl)guanidine"", ""N''-cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]thio}ethyl)guanidine""]"
DB00502,Haloperidol,"For the treatment of schizophrenia [L2016]

For the treatment of acute psychosis in acutely agitated schizophrenic patients with moderately severe to very severe symptoms [L2016]

For the treatment of severe behavioral or psychological symptoms of dementia [L2016]

For the treatment of delirium in the pediatric intensive care unit [L2016]

For the treatment of agitation or delirium [L2016]

For agitation or delirium in adult patients with no underlying psychiatric illness [L2016]

For use as a second-line agent for rescue treatment of chemotherapy-induced nausea/vomiting [L2016]

For the treatment of irritability associated with autistic disorder [L2016]

For the treatment of tics and vocal utterances associated with Tourette's syndrome [L2016]

For the treatment of severe behavioral problems associated with oppositional defiant disorder or other disruptive behavioral disorders, or for the treatment of attention-deficit hyperactivity disorder (ADHD) in pediatric patients who show excessive motor activity with accompanying conduct disorders [L2016]","['1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine', ""4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone"", '4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one', ""4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone"", ""4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone"", 'Haloperidol', '<U+03B3>-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone']"
DB00503,Ritonavir,Indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection.,
DB00504,Levallorphan,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids.",
DB00505,Tridihexethyl,Used as an adjunct in the treatment of peptic ulcer disease and in Acquired nystagmus,
DB00507,Nitazoxanide,"For the treatment of diarrhea in adults and children caused by the protozoa <i>Giardia lamblia</i>,  and for the treatment of diarrhea in children caused by the protozoan,  <i>Cryptosporidium parvum</i> [FDA label].

Nitazoxanide has not been shown to be superior to placebo medication for the management of diarrhea caused by Cryptosporidium parvum in patients with HIV/immunodeficiency [FDA label, A31973, A31976].",['Nitazoxanide']
DB00508,Triflupromazine,Used mainly in the management of psychoses. Also used to control nausea and vomiting.,"['10-(3-(Dimethylamino)propyl)-2-(trifluoromethyl)phenothiazine', '2-(Trifluoromethyl)promazine', '2-Trifluoromethyl-10-(gamma-dimethylaminopropyl)phenothiazine', 'Fluopromazine']"
DB00509,Dextrothyroxine,Used to lower high cholesterol levels in the blood.,"['D-thyroxine', 'Dextrothyroxine', 'O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-D-tyrosine']"
DB00511,Acetyldigitoxin,Used for fast digitalization in congestive heart failure.,"['Acetyl-digitoxin-alpha', 'Acetyldiginatin', 'Acetyldigitoxin', 'Acetylgitoxin', 'alpha-Acetyldigitoxin', 'alpha-Acetylgitaloxin', 'alpha-Monoacetyldigitoxin', 'Desglucolanatoside A', ""Digitoxin 3'''-acetate""]"
DB00512,Vancomycin,"A variety of dosage forms (for example, oral, injections, etc.) exist for the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (beta-lactam-resistant) staphylococci [FDA Label].

Additionally, a unique FDA approved oral liquid treatment is also available and indicated for the treatment of Clostridium difficile associated diarrhea and enterocolitis caused by _Staphylococcus aureus_, including methicillin-resistant strains [L1196].","['(1S,2R,18R,22S,25R,28R,40S)-22-(2-amino-2-oxoethyl)-48-[2-O-(3-amino-2,3,6-trideoxy-3-methyl-a-L-lyxo-hexopyranosyl)-ß-D-glucopyranosyloxy]-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[(N-methyl-D-leucyl)amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentaazaoctacyclo[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34,36,38,46,49-pentadecaene-40-carboxylic acid', '(2.2Sp,3.5Sa,2.6Sp)-O4.2,C3.4:C5.4,O4.6:C3.5,C2.7-tricyclo[N-methyl-D-leucyl-3-chloro-(R)-ß-hydroxy-D-tyrosyl-L-asparaginyl-D-2-(4-{[2-O-(3-amino-2,3,6-trideoxy-3-C-methyl-a-L-lyxo-hexopyranosyl)-ß-D-glucopyranosyl]oxy}phenyl)glycyl-D-2-(4-hydroxyphenyl)glycyl-3-chloro-(R)-ß-hydroxy-L-tyrosyl-L-2-(3,5-dihydroxyphenyl)glycine]', 'Vancomycin']"
DB00513,Aminocaproic Acid,For use in the treatment of excessive postoperative bleeding.,"['6-Aminocaproic acid', '6-aminohexanoic acid', 'Aminocaproic Acid', 'EACA', 'EACS', 'Epsilcapramine', 'Epsilon Aminocaproic Acid', 'Epsilon-Aminocaproic acid', 'epsilon-Aminohexanoic acid', 'omega-Aminocaproic acid', 'omega-Aminohexanoic acid']"
DB00514,Dextromethorphan,For treatment and relief of dry cough.,"['(+)-dextromethorphan', 'D-methorphan', 'delta-Methorphan', 'Dex', 'DM']"
