lastname,address,phone,specialties
Dr. Gerald Minimair,"Friedrich Thurner-Straße 16, 4910 Ried im Innkreis",07752/211 55,Hautarzt
Dr. Behnaz Degreif-Fazeli,"Marktplatz 3, 4910 Ried im Innkreis",07752/81 699,"Hautärztin | Hautärztin,Wahlärztin"
Mag. Dr. Margit Haab-Kroath,"Roemerstraße 48, 4800 Attnang-Puchheim",07674/66800,Hautärztin
Dr. Ingrid Füsgen,"Stadtplatz 36, 4840 Vöcklabruck",07672/256 60,Hautärztin
Dr. Ingrid Kallinger-Wögerbauer,"Max Planckstraße 11, 4840 Vöcklabruck",07672/241 33,Hautärztin
Dr. Rudolf Ostermaier,"Silberzeile 10, 4780 Schärding Innere Stadt",07712/295 53,Hautarzt
Dr. Stefan Hinterleitner,"Bauerstraße 6, 4820 Bad Ischl",06132 / 26570,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Wolfgang Hinterleitner,"Bauerstraße 6, 4820 Bad Ischl",06132/26570,Hautarzt
Priv. Doz. DDr. Michael Kendler,"Hauptstraße 7A, 4861 Schörfling",07662 / 57056,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Michael Emberger,"Herzog Odilo-Straße 52, 5310 Mondsee",06232/21888,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Peter Michael Stöger,"Bahnhofstraße 11-13, 5202 Neumarkt am Wallersee",06216/485 80,Hautarzt
Dr. Margarete Frauscher,"Herzog-Odilo-Straße 52, 5310 Mondsee",06232 / 21 88 8,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Nicole Bacher,"Stadtplatz 43, 5280 Braunau am Inn",07722/687 87,Hautärztin
OA Dr. Dimitri Papadopoulos,"Reichenhallerstraße 7/4, 5020 Salzburg",0662/84791916,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Doz. Dr. Karl Forstner,"Müllner Hauptstraße 48, 5020 Salzburg",0662/4482-3011,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
OA Dr. Joseph Koller,"Nonntaler Hauptstraße 112, 5020 Salzburg",0664/133 92 15,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Walther Nikolaus Klehr,"Sterneckstraße 11, 5020 Salzburg",0662/88 30 80,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Irmgard Kriechbaum,"Kühbergstraße 36, 5020 Salzburg",0662/64 22 74,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Univ.Prof. Dr. Johann Bauer,"Dr. Franz Rehrl-Platz 2, 5020 Salzburg",0699/128 146 04,Hautarzt
Prim. Univ.Prof. MR Dr. Helmuth Klaus Hintner,"Dr. Franz Rehrl-Platz 2, 5020 Salzburg",0662/64 84 48,"Hautarzt | Hautarzt, Humangenetiker,Wahlarzt"
Dr. Elke Nischler,"Strubergasse 26, 5020 Salzburg",0662/840370,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Mona Afazel-Schreiber,"Johann-Wolf-Straße 8, 5020 Salzburg",0662/848490,Hautärztin
Dr. Tillmann Thiel,"Innsbrucker Bundesstraße 35, 5020 Salzburg",0662/9010-1400,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christoph Burger,"Alpenstraße 48/1. Stock, 5020 Salzburg",0662/632933,Hautarzt
Dr. Dorothea Schläpfer,"Berchtesgadner Straße 35B, 5020 Salzburg",0664/8415358,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Michael Bolzer,"Aignerstraße 35, 5026 Salzburg-Aigen",0662/651777,Hautarzt
Dr. Xenia Illmer,"Nonntaler Hauptstraße 35, 5020 Salzburg",0662/871233,Hautärztin
Dr. Gerald Eckstein,"Nonntaler Hauptstraße 112, 5020 Salzburg",0662/82 43 21,Hautarzt
Dr. Helga Perner,"Gaisbergstraße 18, 5020 Salzburg",0662/64 17 66,Hautärztin
Dr. Andreas Fabian Hödl,"Wolf-Dietrich-Straße 19, 5020 Salzburg",0662/875770,Hautarzt
Dr. Nora Eiler,"Linzergasse 4, 5020 Salzburg",0662/876960,Hautärztin
Dr. Gabriela Oettl,"Franz-Josef-Straße 24, 5020 Salzburg",0662/636655,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Karin Kaindl-Orasche,"Neutorstraße 26, 5020 Salzburg",0664/841 82 13,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Handan Odionikhere,"Gaisbergstraße 1/2B, 5161 Elixhausen",0699/10625788,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ulrike Lanner,"Steinlandweg 6, 5071 Wals",0662/870000,"Hautärztin | Hautärztin,Wahlärztin"
Priv.Doz. Dr. Christoph Lanschützer,"Martin-Hell-Straße 7-9, 5422 Bad Dürrnberg",06245/790-0,Hautarzt
Prim. Dr. Aurel Serban Esca,"Martin-Hell-Straße 7, 5422 Bad Dürrnberg",06245/790410,Hautarzt
Dr. Michael Sigmund,"Martin Hell Strasse 7-9, 5422 Bad Dürrnberg",0676/4866799,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Birgitt Hantich-Hladik,"Davisstraße 7, 5400 Hallein",06245/71543 0,Hautärztin
Dr. Richard Wimmer,"Braunauerstraße 1, 5230 Mattighofen",07742/58226,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Michael Thomas,"Brückenstraße 10, 5110 Oberndorf bei Salzburg",06272/407 33,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Richard Tögel,"Salzburger Straße 56, 5110 Oberndorf bei Salzburg",06272/20202,Hautarzt
Dr. Walter Hangler,"Alte Bundesstraße 4, 5500 Bischofshofen",06462/21 077,"Hautarzt | Hautarzt, Angiologe"
Dr. Andreas Ludwig Jenke,"Hauptstraße 15, 5600 Sankt Johann im Pongau",06412/64 04,Hautarzt
Dr. Christian Maczek,"Schillerstraße 8a/Top 7, 5700 Zell am See",06542/47404,Hautarzt
Dr. Günther Olsacher,"Schwimmschulgasse 8, 5580 Tamsweg",06474/2309,"Hautarzt | Hautarzt, Angiologe"
Dr. Christian Seer,"Michael-Walchhofer-Straße 13, 5541 Altenmarkt im Pongau",06452/21078,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Andrea Bauer,"Grießgasse 12/7, 5630 Bad Hofgastein",06432/20311,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Jitka Benesova,"Klausgasse 49, 5730 Mittersill",06562/205 37,Hautärztin
Dr. Claudia Triendl,"Loferer Straße 42a, 5760 Saalfelden am Steinernen Meer",06582/700 05,Hautärztin
Dr. Zita Gabriela Hoffer,"Andreas Hofer-Straße 31, 6020 Innsbruck",0512/582 662,Hautärztin
Dr. Brigitte Illersperger,"Maria Theresien-Straße 11/1, 6020 Innsbruck",0512/589934,Hautärztin
Dr. Christoph Wörner,"Museumstraße 32, 6020 Innsbruck",0512/582793,Hautarzt
Dr. Doris Neururer,"Adamgasse 13, 6020 Innsbruck",0512/57 13 28,Hautärztin
Dr. Sabine Oberthaler,"Defreggerstraße 14, 6020 Innsbruck",0664/5943593,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Anton Petter,"Amraserstraße 25, 6020 Innsbruck",0512/20 90 14,Hautarzt
Dr. Dietmar Heiser,"Olympiastraße 17, 6020 Innsbruck",0512/909323,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christina Rainer-Längle,"Langer Weg 15/2. Stock, 6020 Innsbruck",0512/564166,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Alfred Karl Grassegger,"Salurner Straße 15/I - Holiday Inn Passage, 6020 Innsbruck",0512/58 85 57,Hautarzt
Dr. Maresa Bodenberger,"Museumstraße 20, 6020 Innsbruck",0512/209067,Hautärztin
Dr. Karin Niescher-Lüftl,"Neuhauserstraße 2, 6020 Innsbruck",0512/56 34 44,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Martina Zingg-Schir,"Bienerstraße 21, 6020 Innsbruck",0512/583783,Hautärztin
Dr. Bettina Hönlinger,"Neuhauserstraße 2, 6020 Innsbruck",0512 / 56 34 44,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Cornelia Egger,"Innrain 143, 6020 Innsbruck",0512/20 90 43,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Doris Penz-Schneeweiß,"Landseestraße 3, 6020 Innsbruck",0512/39 97 55,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Univ. Prof. Dr. Norbert Sepp,"Speckbacherstraße 16a/3, 6020 Innsbruck",0660/737 04 18,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christine Staudacher-Villinger,"Arzler Straße 43 A/Nova Park, 6020 Innsbruck",0512/2666000,Hautärztin
Doz. Dr. Florian Weber,"Maria-Theresien-Straße 16, 6020 Innsbruck",0512/587 664,Hautarzt
Dr. Hildegard Gundel-Leiter,"Bahnhofstraße 27, 6176 Völs",0512/30 25 00,Hautärztin
Univ.Doz. Dr. Heinz Kofler,"Thurnfeldgasse 3A, 6060 Hall in Tirol",05223/575 00,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Charlotte Grillitsch,"Fürstengasse 1, 6060 Hall in Tirol",05223/43928,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ludwig Spötl,"Münzergasse 3, 6060 Hall in Tirol",05223/454 85-9,"Hautarzt | Hautarzt,Wahlarzt"
Doz. Dr. Gerda Christa Topar,"Behaimstraße 2, 6060 Hall in Tirol",05223/20 49 24,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Andreas Orou,"Kirchgasse 3, 6200 Jenbach",05244/65170-0,Hautarzt
Dr. Laura Kühnelt-Leddihn,"Florianstraße 7, 6170 Zirl",05238/52859,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Simone Mitteregger,"Florianstraße 7, 6170 Zirl",05238/52859,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Georg Wersching,"Rohrerstraße 19, 6280 Zell am Zillertal",05282/55000,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Marion Lakitsch,"Ringstraße 11, 6830 Rankweil",05522/477 99,Hautärztin
Dr. Marcus Kadgien,"Hof 29, 6951 Lingenau",05513/304 72 0,Hautarzt
Dr. Christian Kranl,"Andreas-Hofer-Straße 3, 6130 Schwaz",05242/672 00,Hautarzt
Dr. Viktor Steichen,"Marktplatz 3, 6410 Telfs",05262/69 69 75,Hautarzt
Dr. Elisabeth Muglach,"Mühlgasse 3, 6410 Telfs",05262/629 00,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Kathrin Dander,"Marktstraße 45, 6230 Brixlegg",05337/642 79,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Stefan Donhauser,"Andreas-Hofer-Platz 1 / 2. Stock, 6300 Wörgl",05332/709 59,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Soja Shamizadeh Kalkhoran,"Andreas Hofer-Platz 1, 6300 Wörgl",05332/70959,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Sylvia Bettina Mayr,"Bahnhofstraße 25, 6300 Wörgl",05332/20730,Hautärztin
Dr. Werner Groer,"Andreas-Hofer-Platz 1 / 2. Stock, 6300 Wörgl",05332/70959,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Elisabeth Fuchs-Dessl,"Georg Pirmoser Straße 3, 6330 Kufstein",05372/714 38,Hautärztin
Dr. Radu Nicolaie Buligan,"Unterer Stadtplatz 9, 6330 Kufstein",05372/6253121,Hautärztin
Mag. DDr. Andreas Kapetanopoulos,"Kronthalerstraße 4, 6330 Kufstein",05372/220 88,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Sara Mauracher,"Kaiserbergstraße 22, 6330 Kufstein",05372/62020,Hautärztin
Dr. Mechthild Ottenthal,"Kirchgasse 13, 6370 Kitzbühel",0650/2006693,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Karen Vorberg,"Hornweg 28, 6370 Kitzbühel",05356/60 12 25,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ulrike Ortner,"Dr.-Carl-Pfeiffenberger-Straße 24, 6460 Imst",05412/64844,Hautärztin
Dr. Manuel Wilhelm,"Urichstraße 43, 6500 Landeck",05442/650 98,Hautarzt
Dr. Peter Zimmermann,"Zeillerplatz 1, 6600 Reutte",05672/72899,Hautarzt
Dr. Katja Carmen Jasmin Barlas,"Bahnhofstraße 14, 6700 Bludenz",05552/314 54,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Achim Schneeberger,"Bundesstraße 47, 6710 Nenzing",05525/62 192,Hautarzt
Dr. Claudia Schießl,"Reichenfeldgasse 8a, 6800 Feldkirch",05522/72229,Hautärztin
OÄ Dr. Nicole Zanschmidt,"Carinagasse 47, 6800 Feldkirch",05522/303-9126,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Univ.Doz. Dr. Robert Strohal,"Carinagasse 47/KH Derm.Amb., 6800 Feldkirch",05522/303 12 30,"Hautarzt | Hautarzt,Wahlarzt"
Priv.-Doz. Dr. med. Rainer Hügel,"Schulgasse 4, 6900 Bregenz",0699/19250423,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Bernadette Feuerstein,"Am Garnmarkt 3, 6840 Götzis",05523/56057,Hautärztin
Dr. Lukas Kraus,"Schulgasse 36, 6850 Dornbirn",05572 / 386638,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Herwig Schäppi,"Marktstraße 30, 6850 Dornbirn",05572/39 40 10,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christa Zußner,"Mozartstraße 5, 6850 Dornbirn",05572/29920,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Mirjam Volgger,"Am Kehlerpark 2, 6850 Dornbirn",05572/200663,"Hautärztin | Hautärztin,Wahlärztin"
MR Dr. Udo Längle,"Riedgasse 9/1, 6850 Dornbirn",05572/283 63,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Nuschin Meykadeh,"St. Martin Straße 4, 6850 Dornbirn",05572/386618,Hautärztin
Dr. Neslisah Huynh,"Maria-Theresien-Straße 6 / 1. Stock, 6890 Lustenau",05577/85600,Hautärztin
Dr. Hans Winkler,"Rheindorferstraße 24/2, 6890 Lustenau",05577/886 55,Hautarzt
Dr. Wolfgang Volgger,"Langenerstraße 1, 6900 Bregenz",05574/586 68,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Michael A. Lukas,"Langenerstraße 1, 6900 Bregenz",05574/586 68,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Manfred Hinteregger,"Arlbergstraße 119/Top 22, 6900 Bregenz",05574/765 06,Hautarzt
Dr. Gunter Copony,"Römerstraße 11, 6900 Bregenz",05574/545 54,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Carola Wolber,"Römerstraße 30/8, 6900 Bregenz",05574/53 54 5,Hautärztin
Dr. Manuela Gutschi,"In der Wirke 3, 6971 Hard",05574/82820,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Helga Perger-Markl,"Untere Hauptstraße 27, 7100 Neusiedl am See",02167/21 00,"Hautärztin | Hautärztin, Angiologin"
Dr. Kai Pleyer,"Röntgengasse 28/6, 7400 Oberwart",03352/324 84,Hautarzt
Dr. Elke Spreizer,"Klostergasse 30, 8280 Fürstenfeld",03382/558 60,Hautärztin
Dr. Rainer Peschke,"Hauptstraße 11-13, 7132 Frauenkirchen",02172/212 15,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Kurt Cziegler,"Rosengasse 7, 7350 Oberpullendorf",02612/437 57,Hautarzt
Dr. Eva Brabek,"Hauptplatz 1, 7540 Güssing",03322/420 45,Hautärztin
OA Dr. Michael Tripolt,"Bergmanngasse 7, 8010 Graz",0664/407 45 99,"Hautarzt | Hautarzt, Allgemeinchirurg,Wahlarzt"
Dr. Ulrike Pilger,"Rosenberggasse 1, 8010 Graz",0316/830 193,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Christiane Szolar-Platzer,"Berthold-Linder-Weg 15, 8047 Graz-Ragnitz",0664/5041211,Hautärztin
Priv.Doz. Dr. Barbara Binder,"Kaiser-Josef-Platz 3/1, 8010 Graz",0316 / 826606,"Hautärztin | Hautärztin,Wahlärztin"
Ao.Univ.Prof. Dr. Franz Josef Legat,"Kreuzgasse 35/2, 8010 Graz",0664/735 307 02,"Hautarzt | Hautarzt,Wahlarzt"
Priv.Doz. Dr. Cesare Massone,"Brunngasse 3, 8010 Graz",0316/42 43 98,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Eva Waniek,"Am Föhrengrund 1, 8043 Graz-Kroisbach",0316/383926,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Helmut Kerl,"Kreuzgasse 35/2, 8010 Graz",0664/88 47 42 22,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Armin Justich,"Glacisstraße 57, 8010 Graz",0316/82 31 53,"Hautarzt | Hautarzt,Wahlarzt"
Ao.Univ.Prof. Dr. Daisy Maria Kopera,"Kaiser Josef-Platz 3/1, 8010 Graz",0316/82 66 06,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Harald Reiter,"Berthold Linder-Weg 15, 8047 Graz-Ragnitz",0316/596 31 00,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Gertraud Tunus,"Prokopigasse 2/2, 8010 Graz",0316/816400,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Ao.Univ.Prof. Dr. Robert Müllegger,"Nibelungengasse 66, 8010 Graz",0676/9338802,Hautarzt
Univ.Prof. Dr. Peter Paul Wolf,"Heinrichstraße 94, 8010 Graz",0316/384 133,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Sigrid Wittek-Saltzberg,"Einsiedlerweg 11, 8043 Graz-Kroisbach",0676/933 40 76,"Hautärztin | Hautärztin,Wahlärztin"
Priv.Doz. Dr. Ingrid Wolf,"Kreuzgasse 35, 8010 Graz",0664/553 88 01,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Reinhold Ortner,"Annenstraße 44, 8020 Graz",0316/712674,Hautarzt
Priv.-Doz. Dr. Edith Arzberger,"Brunngasse 3, 8010 Graz",0316/424398,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Michaela Stangl,"Bergmanngasse 7, 8010 Graz",0316/671 542,Hautärztin
Dr. Paulus Zenahlik,"Grüne Gasse 7, 8020 Graz",0316/76 00 11 11,Hautarzt
Dr. Gerhard Leitinger,"Herrengasse 28, 8010 Graz",0316/319434,Hautarzt
OA Dr. Ralf Ludwig,"Plüddemanngasse 15, 8010 Graz",0316/32 79 20,Hautarzt
Dr. Arnold Gerger,"Hans Sachs-Gasse 12, 8010 Graz",0316/830645,Hautarzt
Dr. Stefan Bartenstein,"Conrad von Hötzendorf-Straße 22, 8010 Graz",0316/816381,Hautarzt
MR Dr. Heinz Kneifel,"Lazarettgürtel 55, 8020 Graz",0316/77 18 03,Hautarzt
Dr. Sylvia Seinitz,"St. Peter Hauptstraße 31E/2, 8042 Graz",0316/463992,Hautärztin
Dr. Bettina Kranzelbinder,"Muchargasse 18a, 8010 Graz",0316/232305,Hautärztin
Dr. Evgenia Galli-Novak,"Mozartgasse 4, 8010 Graz",0316/26 97 40,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Nicola Ravnik-Ehrengruber,"Annenstraße 44, 8020 Graz",0650/220 33 31,Hautärztin
Dr. Regina Klampfer,"Haydngasse 10, 8010 Graz",0316/828 78 10,Hautärztin
Priv.Doz. Dr. Bernd Leinweber,"Beethovenstraße 5, 8010 Graz",0316/32 40 55,Hautarzt
Dr. Anna Maria Derler,"Körösistraße 9, 8010 Graz",0664/343 52 80,Hautärztin
Dr. Aslihan Okcu,"Grazerstraße 53, 8101 Gratkorn",03124 / 25470,Hautärztin
Dr. Piet Auer-Grumbach,"Weizerstraße 9/I, 8200 Gleisdorf",03112/50085,Hautarzt
OA Dr. Emad Arbab,"Franz-Josef-Straße 17, 8200 Gleisdorf",03112/623030,Hautarzt
Priv.Doz. Dr. Peter Komericki,"Kärntnerstraße 12, 8720 Knittelfeld",03512/71006,Hautarzt
Dr. Regina Herzl-Kofler,"Am Arlandgrund 17/1/4, 8045 Graz-Andritz",0316/67 21 21,Hautärztin
Dr. Agnes Bretterklieber,"Pachern Hauptstraße 90/2, 8075 Hart bei Graz",0316/491459,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ingrid Woltsche-Kahr,"Kärntnerstraße 400, 8054 Graz-Straßgang",0316/286022,Hautärztin
Dr. Michaela Wiednig,"Kärntnerstraße 518, 8054 Seiersberg",0664/ 4840028,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Natalie Zöchling,"Birkfelder Straße 48/2.Stock/Top 2.2, 8160 Etzersdorf",03172/460 57,Hautärztin
Dr. Martin J. Gruber,"Hans Sutter-Gasse 3, 8160 Weiz",03172/44160,Hautarzt
Dr. Michaela Trummer,"Färbergasse 2, 8121 Deutschfeistritz",0676/538 84 67,Hautärztin
Dr. Renate Schöllnast,"Mühlgasse 17, 8580 Köflach",03144 / 35474,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Gero Manfred Gailhofer,"Hauptplatz 43, 2.Stock, 8570 Voitsberg",03142/22 87 70,Hautarzt
Dr. Silvia Ettlinger,"Baumschulgasse 5, 8230 Hartberg",03332/63400,Hautärztin
Dr. Thomas Kern,"Sigmund Freud-Platz 1, 8330 Feldbach",03152/89 85 60,"Hautarzt | Hautarzt, Angiologe"
Dr. Rodica Popa,"Langgasse 53/1, 8490 Bad Radkersburg",03476/2998,Hautärztin
Dr. Peter Kahofer,"Sailergasse 14/1, 8430 Leibnitz",03452/867 00,Hautarzt
Dr. Julius Thomas Kainz,"Dechant Thaller-Straße 34, 8430 Leibnitz",03452/83611,Hautarzt
Dr. Edgar Rieger,"Frauentaler Straße 51/1, 8530 Deutschlandsberg",03462/73 70,Hautarzt
Dr. Verena Rieger-Ziegler,"Frauentaler Straße 51/1, 8530 Deutschlandsberg",03462/73 70-15,Hautärztin
Dr. Christoph Niederecker,"Siegfried Marcus-Straße, 8605 Kapfenberg",03862/22 24 20,Hautarzt
Dr. Doris Sutter,"Erzherzog Johann Gasse 1, 8600 Bruck an der Mur",03862/568 71,Hautärztin
Dr. Miran Drofenik,"Hauptstraße 13, 8650 Kindberg",03865/3340,Hautarzt
Dr. Eva Christine Trauner,"Waasenplatz 1, 8700 Leoben",03842/216 00,Hautärztin
Dr. Bernd Helmut Achleitner,"Franz Josef-Straße 8/2, 8700 Leoben",03842/441 44,Hautarzt
Dr. Elmar Innauer,"Hans Klöpfer-Straße 6/1, 8750 Judenburg",03572/421 82,Hautarzt
Dr. Rok Kokol,"Rathausplatz 2, 8940 Liezen",03612/20 801,Hautarzt
Dr. Manfred Tritscher,"Maistatt 825, 8970 Schladming",03687/225 11,Hautarzt
Prim. Priv.Doz. Dr. Bernhard Lange-Asschenfeldt,"Feschnigstraße 11, 9020 Klagenfurt",0664/619 31 51,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Reinhold Michael Gassner,"8. Mai-Straße 47, 9020 Klagenfurt",0463/50 37 49,Hautarzt
Dr. Kornelia Marketz,"St. Veiter Straße 41, 9020 Klagenfurt",0463/511363,Hautärztin
Dr. Barbara Wolfesberger,"Villacher Straße 1a/6/63, 9020 Klagenfurt",0463/505 34,Hautärztin
Dr. Christian Kos,"Alter Platz 31/1, 9020 Klagenfurt",0463/50 77 94,Hautarzt
Dr. Magarethe Kobalter,"St. Veiter Straße 85, 9020 Klagenfurt",0463/51 23 45,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Michael Adamitsch,"Rosentalerstraße 7, 9020 Klagenfurt",0463/50 11 22,"Hautarzt | Hautarzt,Wahlarzt"
OA Dr. Hannes Kolle,"Medizinweg 2, 9065 Ebenthal",0660/1361993,"Hautarzt | Hautarzt,Wahlarzt"
"Dr. Christa Stückler, MSc","Seecorso 4/3, 9220 Velden",0660/5905554,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Dagmar Mayrhofer-Schmid,"Grabenstraße 10, 9300 St. Veit an der Glan",04212/301 10,Hautärztin
Dr. Andrea Dagmar Lengyel,"Griffnerstraße 9, 9100 Völkermarkt",04232 / 32 42,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Isolde Rudolf,"Umfahrungsstraße 15, 9100 Völkermarkt",04232/373 77,Hautärztin
Dr. Michael Gasser,"Völkendorfer Straße 25 A, 9500 Villach",04242/52838,"Hautarzt | Hautarzt, Angiologe"
Dr. Sylvia Hackl,"Oktoberstraße 23, 9500 Villach",04242/23329,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Uwe Christian Gaggl,"Bahnhofplatz 4, 9500 Villach",04242/22442,Hautarzt
Dr. Johanna Maria Staubmann-Kury,"Nikolaigasse 39, 9500 Villach",04242/26 46 90,Hautärztin
Dr. Daevi Kathrin Haselbach,"Kreuzstrasse 38, 9330 Althofen",04262/273 38,Hautärztin
Dr. Sabine Rainer,"Spanheimerstraße 13/1, 9400 Wolfsberg",04352/309 00,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Johann Derhaschnig,"Spanheimerstraße 26, 9400 Wolfsberg",04352/303 03,Hautarzt
Dr. Max Wutte,"Rizzistraße 1, 9800 Spittal an der Drau",04762/423 06,"Hautarzt | Hautarzt, Angiologe"
Dr. Alexander Winkler,"Alleestraße 21, 9900 Lienz",04852/679 27,Hautarzt
Dr. Anton Bacher,"Grafendorfer Straße 5a, 9900 Lienz",04852/69693,Hautarzt
Dr. Bettina Eigner,"10. Oktober-Straße 27/II, 9560 Feldkirchen in Kärnten",04276/37 200,Hautärztin
Dr. Albert Bacher,"Maderspergerstraße 10/2, 3151 St. Georgen am Steinfelde",0664/644 10 11,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Sidi Unterkircher,"Schwarzingerfeld 1, 6380 St. Johann in Tirol",05352/64535,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Karl Heinz Friedrich,"Neubauweg 23, 6380 St. Johann in Tirol",05352/659 11,"Hautarzt | Hautarzt,Wahlarzt"
